   29    15   218	RPs/Img: 0.87	IOU: 6.96%	Recall:6.88%	Precision:57.69%	RMSE:1.81 avgRMSE:1.42	C0: 0.29  C1: 0.16  C2: 0.00  C3: 0.02  C4: 0.07 
   30    18   228	RPs/Img: 1.00	IOU: 8.00%	Recall:7.89%	Precision:58.06%	RMSE:1.22 avgRMSE:1.42	C0: 0.28  C1: 0.16  C2: 0.00  C3: 0.02  C4: 0.11 
   31    20   244	RPs/Img: 1.06	IOU: 8.21%	Recall:8.20%	Precision:58.82%	RMSE:1.77 avgRMSE:1.43	C0: 0.26  C1: 0.15  C2: 0.00  C3: 0.02  C4: 0.13 
   32    21   245	RPs/Img: 1.09	IOU: 8.39%	Recall:8.57%	Precision:58.33%	RMSE:0.00 avgRMSE:1.38	C0: 0.26  C1: 0.18  C2: 0.00  C3: 0.02  C4: 0.13 
   33    21   247	RPs/Img: 1.12	IOU: 8.49%	Recall:8.50%	Precision:55.26%	RMSE:1.00 avgRMSE:1.37	C0: 0.25  C1: 0.17  C2: 0.00  C3: 0.02  C4: 0.13 
   34    22   248	RPs/Img: 1.11	IOU: 8.68%	Recall:8.87%	Precision:56.41%	RMSE:0.00 avgRMSE:1.33	C0: 0.25  C1: 0.20  C2: 0.00  C3: 0.02  C4: 0.13 
   35    22   250	RPs/Img: 1.08	IOU: 8.61%	Recall:8.80%	Precision:56.41%	RMSE:0.71 avgRMSE:1.32	C0: 0.25  C1: 0.20  C2: 0.00  C3: 0.02  C4: 0.13 
   36    22   251	RPs/Img: 1.05	IOU: 8.58%	Recall:8.76%	Precision:56.41%	RMSE:1.00 avgRMSE:1.31	C0: 0.25  C1: 0.20  C2: 0.00  C3: 0.02  C4: 0.13 
   37    22   253	RPs/Img: 1.03	IOU: 8.51%	Recall:8.70%	Precision:56.41%	RMSE:0.71 avgRMSE:1.29	C0: 0.25  C1: 0.19  C2: 0.00  C3: 0.02  C4: 0.13 
   38    22   254	RPs/Img: 1.00	IOU: 8.48%	Recall:8.66%	Precision:56.41%	RMSE:1.00 avgRMSE:1.28	C0: 0.25  C1: 0.19  C2: 0.00  C3: 0.02  C4: 0.13 
   39    22   257	RPs/Img: 1.05	IOU: 8.69%	Recall:8.56%	Precision:52.38%	RMSE:1.73 avgRMSE:1.30	C0: 0.25  C1: 0.17  C2: 0.00  C3: 0.02  C4: 0.13 
   40    22   258	RPs/Img: 1.02	IOU: 8.65%	Recall:8.53%	Precision:52.38%	RMSE:1.00 avgRMSE:1.29	C0: 0.25  C1: 0.17  C2: 0.00  C3: 0.02  C4: 0.13 
   41    22   260	RPs/Img: 1.00	IOU: 8.59%	Recall:8.46%	Precision:52.38%	RMSE:1.41 avgRMSE:1.29	C0: 0.25  C1: 0.16  C2: 0.00  C3: 0.02  C4: 0.13 
   42    22   261	RPs/Img: 1.02	IOU: 8.65%	Recall:8.43%	Precision:50.00%	RMSE:1.00 avgRMSE:1.28	C0: 0.24  C1: 0.16  C2: 0.00  C3: 0.02  C4: 0.13 
   43    22   262	RPs/Img: 1.00	IOU: 8.62%	Recall:8.40%	Precision:50.00%	RMSE:1.00 avgRMSE:1.28	C0: 0.24  C1: 0.15  C2: 0.00  C3: 0.02  C4: 0.13 
   44    22   263	RPs/Img: 1.02	IOU: 8.66%	Recall:8.37%	Precision:47.83%	RMSE:1.00 avgRMSE:1.27	C0: 0.23  C1: 0.15  C2: 0.00  C3: 0.02  C4: 0.13 
   45    22   264	RPs/Img: 1.00	IOU: 8.63%	Recall:8.33%	Precision:47.83%	RMSE:1.00 avgRMSE:1.27	C0: 0.22  C1: 0.15  C2: 0.00  C3: 0.02  C4: 0.13 
   46    23   301	RPs/Img: 1.00	IOU: 7.89%	Recall:7.64%	Precision:48.94%	RMSE:4.07 avgRMSE:1.33	C0: 0.21  C1: 0.17  C2: 0.00  C3: 0.02  C4: 0.10 
   47    23   308	RPs/Img: 0.98	IOU: 7.71%	Recall:7.47%	Precision:48.94%	RMSE:2.30 avgRMSE:1.35	C0: 0.21  C1: 0.17  C2: 0.00  C3: 0.02  C4: 0.10 
   48    23   335	RPs/Img: 0.96	IOU: 7.09%	Recall:6.87%	Precision:48.94%	RMSE:3.48 avgRMSE:1.39	C0: 0.20  C1: 0.17  C2: 0.00  C3: 0.02  C4: 0.09 
   49    23   336	RPs/Img: 0.94	IOU: 7.07%	Recall:6.85%	Precision:48.94%	RMSE:1.00 avgRMSE:1.38	C0: 0.20  C1: 0.17  C2: 0.00  C3: 0.02  C4: 0.09 
   50    24   342	RPs/Img: 0.94	IOU: 7.17%	Recall:7.02%	Precision:50.00%	RMSE:1.68 avgRMSE:1.39	C0: 0.23  C1: 0.17  C2: 0.00  C3: 0.01  C4: 0.09 
   51    24   363	RPs/Img: 0.92	IOU: 6.76%	Recall:6.61%	Precision:50.00%	RMSE:3.66 avgRMSE:1.43	C0: 0.23  C1: 0.17  C2: 0.00  C3: 0.01  C4: 0.08 
   52    24   379	RPs/Img: 0.91	IOU: 6.47%	Recall:6.33%	Precision:50.00%	RMSE:3.16 avgRMSE:1.46	C0: 0.23  C1: 0.17  C2: 0.00  C3: 0.01  C4: 0.08 
   53    24   390	RPs/Img: 0.91	IOU: 6.54%	Recall:6.15%	Precision:48.98%	RMSE:2.75 avgRMSE:1.49	C0: 0.22  C1: 0.17  C2: 0.00  C3: 0.01  C4: 0.08 
   54    24   392	RPs/Img: 0.89	IOU: 6.51%	Recall:6.12%	Precision:48.98%	RMSE:1.00 avgRMSE:1.48	C0: 0.22  C1: 0.17  C2: 0.00  C3: 0.01  C4: 0.08 
