   29   524   543	RPs/Img: 19.20	IOU: 69.92%	Recall:96.50%	Precision:90.97%	RMSE:0.27 avgRMSE:0.14	C0: 1.00  C1: 1.00  C2: 0.97  C3: 1.00  C4: 0.96 
   30   545   565	RPs/Img: 19.32	IOU: 70.01%	Recall:96.46%	Precision:90.98%	RMSE:0.21 avgRMSE:0.14	C0: 1.00  C1: 1.00  C2: 0.97  C3: 1.00  C4: 0.96 
   31   562   583	RPs/Img: 19.31	IOU: 70.10%	Recall:96.40%	Precision:90.94%	RMSE:0.24 avgRMSE:0.14	C0: 1.00  C1: 1.00  C2: 0.97  C3: 1.00  C4: 0.96 
   32   577   598	RPs/Img: 19.18	IOU: 70.11%	Recall:96.49%	Precision:91.15%	RMSE:0.00 avgRMSE:0.14	C0: 1.00  C1: 1.00  C2: 0.97  C3: 1.00  C4: 0.96 
   33   602   625	RPs/Img: 19.38	IOU: 70.18%	Recall:96.32%	Precision:91.35%	RMSE:0.27 avgRMSE:0.14	C0: 1.00  C1: 1.00  C2: 0.96  C3: 1.00  C4: 0.96 
   34   608   631	RPs/Img: 19.00	IOU: 70.18%	Recall:96.35%	Precision:91.43%	RMSE:0.00 avgRMSE:0.14	C0: 1.00  C1: 1.00  C2: 0.96  C3: 1.00  C4: 0.96 
   35   616   640	RPs/Img: 18.72	IOU: 70.09%	Recall:96.25%	Precision:91.39%	RMSE:0.33 avgRMSE:0.14	C0: 1.00  C1: 1.00  C2: 0.96  C3: 1.00  C4: 0.95 
   36   633   657	RPs/Img: 18.68	IOU: 70.06%	Recall:96.35%	Precision:91.61%	RMSE:0.00 avgRMSE:0.14	C0: 1.00  C1: 1.00  C2: 0.96  C3: 1.00  C4: 0.96 
   37   656   681	RPs/Img: 18.82	IOU: 70.22%	Recall:96.33%	Precision:91.75%	RMSE:0.20 avgRMSE:0.14	C0: 1.00  C1: 1.00  C2: 0.97  C3: 1.00  C4: 0.95 
   38   668   694	RPs/Img: 18.67	IOU: 70.27%	Recall:96.25%	Precision:91.76%	RMSE:0.28 avgRMSE:0.15	C0: 1.00  C1: 1.00  C2: 0.97  C3: 1.00  C4: 0.95 
