   29   101   543	RPs/Img: 17.70	IOU: 22.44%	Recall:18.60%	Precision:19.02%	RMSE:2.10 avgRMSE:2.28	C0: 0.11  C1: 0.33  C2: 0.00  C3: 0.38  C4: 0.32 
   30   104   565	RPs/Img: 17.65	IOU: 22.26%	Recall:18.41%	Precision:19.01%	RMSE:2.74 avgRMSE:2.29	C0: 0.11  C1: 0.33  C2: 0.00  C3: 0.38  C4: 0.32 
   31   106   583	RPs/Img: 17.81	IOU: 22.39%	Recall:18.18%	Precision:18.60%	RMSE:2.38 avgRMSE:2.29	C0: 0.10  C1: 0.33  C2: 0.00  C3: 0.38  C4: 0.31 
   32   111   598	RPs/Img: 17.61	IOU: 22.46%	Recall:18.56%	Precision:19.10%	RMSE:1.67 avgRMSE:2.27	C0: 0.12  C1: 0.33  C2: 0.00  C3: 0.38  C4: 0.32 
   33   119   625	RPs/Img: 17.68	IOU: 22.56%	Recall:19.04%	Precision:19.80%	RMSE:2.76 avgRMSE:2.29	C0: 0.18  C1: 0.33  C2: 0.00  C3: 0.38  C4: 0.33 
   34   119   631	RPs/Img: 17.37	IOU: 22.46%	Recall:18.86%	Precision:19.57%	RMSE:1.29 avgRMSE:2.26	C0: 0.17  C1: 0.33  C2: 0.00  C3: 0.35  C4: 0.32 
   35   120   640	RPs/Img: 17.19	IOU: 22.39%	Recall:18.75%	Precision:19.39%	RMSE:1.94 avgRMSE:2.25	C0: 0.17  C1: 0.33  C2: 0.00  C3: 0.35  C4: 0.32 
   36   120   657	RPs/Img: 17.54	IOU: 22.23%	Recall:18.26%	Precision:18.49%	RMSE:2.84 avgRMSE:2.27	C0: 0.16  C1: 0.33  C2: 0.00  C3: 0.35  C4: 0.31 
   37   128   681	RPs/Img: 17.53	IOU: 22.29%	Recall:18.80%	Precision:19.22%	RMSE:2.58 avgRMSE:2.28	C0: 0.18  C1: 0.33  C2: 0.00  C3: 0.35  C4: 0.32 
   38   131   694	RPs/Img: 17.51	IOU: 22.36%	Recall:18.88%	Precision:19.18%	RMSE:1.96 avgRMSE:2.27	C0: 0.18  C1: 0.33  C2: 0.00  C3: 0.35  C4: 0.32 
   39   133   723	RPs/Img: 17.48	IOU: 22.29%	Recall:18.40%	Precision:19.03%	RMSE:3.55 avgRMSE:2.30	C0: 0.18  C1: 0.33  C2: 0.00  C3: 0.35  C4: 0.32 
   40   134   728	RPs/Img: 17.22	IOU: 22.31%	Recall:18.41%	Precision:18.98%	RMSE:1.10 avgRMSE:2.27	C0: 0.17  C1: 0.25  C2: 0.00  C3: 0.35  C4: 0.32 
   41   136   742	RPs/Img: 17.02	IOU: 22.23%	Recall:18.33%	Precision:19.02%	RMSE:1.89 avgRMSE:2.26	C0: 0.17  C1: 0.25  C2: 0.00  C3: 0.32  C4: 0.32 
   42   137   749	RPs/Img: 17.14	IOU: 22.23%	Recall:18.29%	Precision:18.59%	RMSE:1.41 avgRMSE:2.24	C0: 0.17  C1: 0.25  C2: 0.00  C3: 0.32  C4: 0.31 
   43   139   758	RPs/Img: 17.50	IOU: 22.33%	Recall:18.34%	Precision:18.05%	RMSE:1.45 avgRMSE:2.22	C0: 0.17  C1: 0.25  C2: 0.00  C3: 0.30  C4: 0.31 
   44   141   763	RPs/Img: 17.33	IOU: 22.45%	Recall:18.48%	Precision:18.08%	RMSE:1.00 avgRMSE:2.20	C0: 0.17  C1: 0.25  C2: 0.00  C3: 0.30  C4: 0.32 
   45   144   777	RPs/Img: 17.22	IOU: 22.47%	Recall:18.53%	Precision:18.18%	RMSE:1.95 avgRMSE:2.19	C0: 0.17  C1: 0.25  C2: 0.00  C3: 0.29  C4: 0.32 
   46   145   782	RPs/Img: 17.26	IOU: 22.52%	Recall:18.54%	Precision:17.88%	RMSE:1.10 avgRMSE:2.17	C0: 0.17  C1: 0.25  C2: 0.00  C3: 0.29  C4: 0.32 
   47   148   794	RPs/Img: 17.17	IOU: 22.61%	Recall:18.64%	Precision:17.96%	RMSE:1.85 avgRMSE:2.16	C0: 0.16  C1: 0.25  C2: 0.00  C3: 0.29  C4: 0.32 
   48   154   804	RPs/Img: 17.49	IOU: 22.91%	Recall:19.15%	Precision:17.97%	RMSE:0.77 avgRMSE:2.13	C0: 0.16  C1: 0.25  C2: 0.00  C3: 0.29  C4: 0.33 
   49   157   822	RPs/Img: 17.46	IOU: 22.95%	Recall:19.10%	Precision:17.98%	RMSE:2.35 avgRMSE:2.14	C0: 0.20  C1: 0.25  C2: 0.00  C3: 0.28  C4: 0.32 
   50   159   835	RPs/Img: 17.57	IOU: 23.08%	Recall:19.04%	Precision:17.75%	RMSE:1.86 avgRMSE:2.13	C0: 0.20  C1: 0.25  C2: 0.00  C3: 0.26  C4: 0.32 
   51   165   857	RPs/Img: 17.63	IOU: 23.17%	Recall:19.25%	Precision:17.99%	RMSE:2.02 avgRMSE:2.13	C0: 0.20  C1: 0.20  C2: 0.00  C3: 0.24  C4: 0.33 
   52   172   874	RPs/Img: 17.58	IOU: 23.44%	Recall:19.68%	Precision:18.45%	RMSE:1.85 avgRMSE:2.12	C0: 0.20  C1: 0.20  C2: 0.00  C3: 0.24  C4: 0.33 
   53   174   882	RPs/Img: 17.56	IOU: 23.46%	Recall:19.73%	Precision:18.35%	RMSE:1.32 avgRMSE:2.11	C0: 0.19  C1: 0.20  C2: 0.00  C3: 0.24  C4: 0.34 
   54   175   886	RPs/Img: 17.47	IOU: 23.51%	Recall:19.75%	Precision:18.21%	RMSE:1.12 avgRMSE:2.09	C0: 0.19  C1: 0.17  C2: 0.00  C3: 0.25  C4: 0.34 
   55   177   900	RPs/Img: 17.59	IOU: 23.54%	Recall:19.67%	Precision:17.97%	RMSE:1.96 avgRMSE:2.09	C0: 0.19  C1: 0.14  C2: 0.00  C3: 0.24  C4: 0.34 
   56   179   910	RPs/Img: 17.47	IOU: 23.46%	Recall:19.67%	Precision:17.97%	RMSE:1.84 avgRMSE:2.08	C0: 0.21  C1: 0.14  C2: 0.00  C3: 0.24  C4: 0.33 
   57   180   917	RPs/Img: 17.29	IOU: 23.39%	Recall:19.63%	Precision:17.95%	RMSE:1.31 avgRMSE:2.07	C0: 0.20  C1: 0.14  C2: 0.00  C3: 0.24  C4: 0.33 
   58   180   920	RPs/Img: 17.17	IOU: 23.37%	Recall:19.57%	Precision:17.77%	RMSE:1.29 avgRMSE:2.06	C0: 0.19  C1: 0.14  C2: 0.00  C3: 0.24  C4: 0.33 
   59   185   937	RPs/Img: 17.23	IOU: 23.48%	Recall:19.74%	Precision:17.89%	RMSE:1.97 avgRMSE:2.06	C0: 0.20  C1: 0.14  C2: 0.00  C3: 0.24  C4: 0.33 
   60   186   954	RPs/Img: 17.08	IOU: 23.25%	Recall:19.50%	Precision:17.85%	RMSE:2.59 avgRMSE:2.07	C0: 0.20  C1: 0.14  C2: 0.00  C3: 0.24  C4: 0.33 
   61   189   970	RPs/Img: 16.98	IOU: 23.26%	Recall:19.48%	Precision:17.95%	RMSE:2.14 avgRMSE:2.07	C0: 0.20  C1: 0.14  C2: 0.00  C3: 0.24  C4: 0.33 
   62   192   985	RPs/Img: 16.90	IOU: 23.35%	Recall:19.49%	Precision:18.03%	RMSE:2.03 avgRMSE:2.07	C0: 0.21  C1: 0.12  C2: 0.00  C3: 0.24  C4: 0.33 
   63   192   990	RPs/Img: 16.81	IOU: 23.34%	Recall:19.39%	Precision:17.84%	RMSE:1.84 avgRMSE:2.06	C0: 0.21  C1: 0.12  C2: 0.00  C3: 0.24  C4: 0.33 
   64   193  1000	RPs/Img: 16.75	IOU: 23.19%	Recall:19.30%	Precision:17.72%	RMSE:1.87 avgRMSE:2.06	C0: 0.20  C1: 0.12  C2: 0.00  C3: 0.24  C4: 0.33 
   65   199  1010	RPs/Img: 16.74	IOU: 23.38%	Recall:19.70%	Precision:18.01%	RMSE:0.77 avgRMSE:2.04	C0: 0.20  C1: 0.12  C2: 0.00  C3: 0.24  C4: 0.33 
   66   201  1022	RPs/Img: 16.82	IOU: 23.36%	Recall:19.67%	Precision:17.83%	RMSE:1.96 avgRMSE:2.04	C0: 0.21  C1: 0.12  C2: 0.00  C3: 0.24  C4: 0.33 
   67   203  1044	RPs/Img: 16.75	IOU: 23.27%	Recall:19.44%	Precision:17.82%	RMSE:2.91 avgRMSE:2.05	C0: 0.21  C1: 0.12  C2: 0.00  C3: 0.24  C4: 0.33 
   68   207  1053	RPs/Img: 16.91	IOU: 23.39%	Recall:19.66%	Precision:17.74%	RMSE:1.11 avgRMSE:2.04	C0: 0.20  C1: 0.12  C2: 0.00  C3: 0.24  C4: 0.33 
   69   208  1066	RPs/Img: 17.03	IOU: 23.42%	Recall:19.51%	Precision:17.45%	RMSE:2.39 avgRMSE:2.04	C0: 0.20  C1: 0.12  C2: 0.00  C3: 0.24  C4: 0.33 
   70   209  1077	RPs/Img: 17.35	IOU: 23.43%	Recall:19.41%	Precision:16.96%	RMSE:2.04 avgRMSE:2.04	C0: 0.20  C1: 0.12  C2: 0.00  C3: 0.24  C4: 0.33 
   71   211  1089	RPs/Img: 17.33	IOU: 23.42%	Recall:19.38%	Precision:16.91%	RMSE:2.04 avgRMSE:2.04	C0: 0.20  C1: 0.12  C2: 0.00  C3: 0.24  C4: 0.33 
   72   213  1104	RPs/Img: 17.32	IOU: 23.43%	Recall:19.29%	Precision:16.85%	RMSE:2.38 avgRMSE:2.05	C0: 0.20  C1: 0.12  C2: 0.00  C3: 0.26  C4: 0.33 
   73   213  1107	RPs/Img: 17.15	IOU: 23.38%	Recall:19.24%	Precision:16.78%	RMSE:1.73 avgRMSE:2.04	C0: 0.20  C1: 0.12  C2: 0.00  C3: 0.24  C4: 0.33 
   74   215  1110	RPs/Img: 17.04	IOU: 23.47%	Recall:19.37%	Precision:16.82%	RMSE:0.58 avgRMSE:2.02	C0: 0.20  C1: 0.12  C2: 0.00  C3: 0.24  C4: 0.33 
   75   219  1120	RPs/Img: 17.04	IOU: 23.52%	Recall:19.55%	Precision:16.91%	RMSE:1.41 avgRMSE:2.02	C0: 0.20  C1: 0.12  C2: 0.00  C3: 0.24  C4: 0.33 
   76   224  1138	RPs/Img: 17.04	IOU: 23.69%	Recall:19.68%	Precision:17.07%	RMSE:2.17 avgRMSE:2.02	C0: 0.20  C1: 0.12  C2: 0.00  C3: 0.26  C4: 0.33 
