   36    49   176	RPs/Img: 3.35	IOU: 31.22%	Recall:27.84%	Precision:39.52%	C0: 0.13  C1: 0.00  C2: 0.00  C3: 1.00  C4: 0.58 
   37    51   178	RPs/Img: 3.39	IOU: 31.78%	Recall:28.65%	Precision:39.53%	C0: 0.17  C1: 0.00  C2: 0.00  C3: 1.00  C4: 0.59 
   38    52   179	RPs/Img: 3.41	IOU: 32.03%	Recall:29.05%	Precision:39.10%	C0: 0.17  C1: 0.00  C2: 0.00  C3: 1.00  C4: 0.59 
   39    52   180	RPs/Img: 3.35	IOU: 32.04%	Recall:28.89%	Precision:38.81%	C0: 0.17  C1: 0.00  C2: 0.00  C3: 1.00  C4: 0.59 
   40    53   182	RPs/Img: 3.32	IOU: 32.13%	Recall:29.12%	Precision:38.97%	C0: 0.16  C1: 0.00  C2: 0.00  C3: 1.00  C4: 0.60 
   41    53   183	RPs/Img: 3.24	IOU: 31.95%	Recall:28.96%	Precision:38.97%	C0: 0.15  C1: 0.00  C2: 0.00  C3: 1.00  C4: 0.60 
   42    55   187	RPs/Img: 3.21	IOU: 32.07%	Recall:29.41%	Precision:39.86%	C0: 0.19  C1: 0.00  C2: 0.00  C3: 1.00  C4: 0.59 
   43    57   190	RPs/Img: 3.20	IOU: 32.26%	Recall:30.00%	Precision:40.43%	C0: 0.19  C1: 0.00  C2: 0.00  C3: 1.00  C4: 0.59 
   44    59   194	RPs/Img: 3.24	IOU: 32.39%	Recall:30.41%	Precision:40.41%	C0: 0.19  C1: 0.00  C2: 0.00  C3: 1.00  C4: 0.59 
   45    59   195	RPs/Img: 3.22	IOU: 32.41%	Recall:30.26%	Precision:39.86%	C0: 0.18  C1: 0.00  C2: 0.00  C3: 1.00  C4: 0.59 
   46    65   204	RPs/Img: 3.45	IOU: 33.80%	Recall:31.86%	Precision:40.12%	C0: 0.18  C1: 0.00  C2: 0.00  C3: 0.67  C4: 0.59 
   47    72   212	RPs/Img: 3.54	IOU: 35.07%	Recall:33.96%	Precision:42.35%	C0: 0.21  C1: 0.00  C2: 0.00  C3: 0.75  C4: 0.59 
   48    73   213	RPs/Img: 3.51	IOU: 35.24%	Recall:34.27%	Precision:42.44%	C0: 0.23  C1: 0.00  C2: 0.00  C3: 0.75  C4: 0.59 
   49    74   214	RPs/Img: 3.48	IOU: 35.37%	Recall:34.58%	Precision:42.53%	C0: 0.26  C1: 0.00  C2: 0.00  C3: 0.75  C4: 0.59 
   50    75   215	RPs/Img: 3.43	IOU: 35.59%	Recall:34.88%	Precision:42.86%	C0: 0.26  C1: 0.17  C2: 0.00  C3: 0.75  C4: 0.59 
   51    76   216	RPs/Img: 3.38	IOU: 35.73%	Recall:35.19%	Precision:43.18%	C0: 0.28  C1: 0.17  C2: 0.00  C3: 0.75  C4: 0.59 
   52    81   222	RPs/Img: 3.43	IOU: 36.22%	Recall:36.49%	Precision:44.51%	C0: 0.28  C1: 0.38  C2: 0.00  C3: 0.75  C4: 0.59 
   53    85   226	RPs/Img: 3.50	IOU: 36.90%	Recall:37.61%	Precision:44.97%	C0: 0.28  C1: 0.55  C2: 0.00  C3: 0.76  C4: 0.59 
   54    94   265	RPs/Img: 3.60	IOU: 34.79%	Recall:35.47%	Precision:47.47%	C0: 0.28  C1: 0.58  C2: 0.00  C3: 0.36  C4: 0.61 
   55    99   275	RPs/Img: 3.64	IOU: 35.01%	Recall:36.00%	Precision:48.53%	C0: 0.32  C1: 0.58  C2: 0.00  C3: 0.36  C4: 0.61 
   56   118   307	RPs/Img: 4.05	IOU: 36.33%	Recall:38.44%	Precision:51.08%	C0: 0.34  C1: 0.64  C2: 0.00  C3: 0.39  C4: 0.63 
   57   118   308	RPs/Img: 3.98	IOU: 36.22%	Recall:38.31%	Precision:51.08%	C0: 0.34  C1: 0.64  C2: 0.00  C3: 0.38  C4: 0.63 
   58   135   341	RPs/Img: 4.36	IOU: 37.56%	Recall:39.59%	Precision:52.53%	C0: 0.36  C1: 0.67  C2: 0.00  C3: 0.38  C4: 0.65 
   59   137   345	RPs/Img: 4.32	IOU: 37.58%	Recall:39.71%	Precision:52.90%	C0: 0.38  C1: 0.67  C2: 0.00  C3: 0.38  C4: 0.65 
   60   140   358	RPs/Img: 4.46	IOU: 37.42%	Recall:39.11%	Precision:51.47%	C0: 0.38  C1: 0.69  C2: 0.00  C3: 0.36  C4: 0.65 
   61   151   373	RPs/Img: 4.71	IOU: 37.97%	Recall:40.48%	Precision:51.71%	C0: 0.38  C1: 0.72  C2: 0.00  C3: 0.39  C4: 0.65 
   62   151   374	RPs/Img: 4.63	IOU: 37.87%	Recall:40.37%	Precision:51.71%	C0: 0.38  C1: 0.68  C2: 0.00  C3: 0.39  C4: 0.65 
   63   153   388	RPs/Img: 4.59	IOU: 36.86%	Recall:39.43%	Precision:52.04%	C0: 0.38  C1: 0.70  C2: 0.00  C3: 0.36  C4: 0.65 
   64   155   392	RPs/Img: 4.55	IOU: 36.85%	Recall:39.54%	Precision:52.36%	C0: 0.38  C1: 0.71  C2: 0.00  C3: 0.36  C4: 0.64 
   65   156   393	RPs/Img: 4.50	IOU: 36.90%	Recall:39.69%	Precision:52.53%	C0: 0.38  C1: 0.73  C2: 0.00  C3: 0.36  C4: 0.64 
   66   157   394	RPs/Img: 4.45	IOU: 36.98%	Recall:39.85%	Precision:52.68%	C0: 0.38  C1: 0.74  C2: 0.00  C3: 0.36  C4: 0.64 
   67   157   395	RPs/Img: 4.38	IOU: 36.88%	Recall:39.75%	Precision:52.68%	C0: 0.38  C1: 0.71  C2: 0.00  C3: 0.36  C4: 0.64 
   68   162   407	RPs/Img: 4.42	IOU: 36.84%	Recall:39.80%	Precision:53.11%	C0: 0.38  C1: 0.71  C2: 0.01  C3: 0.35  C4: 0.65 
   69   166   414	RPs/Img: 4.41	IOU: 36.99%	Recall:40.10%	Precision:53.72%	C0: 0.39  C1: 0.71  C2: 0.03  C3: 0.35  C4: 0.66 
   70   182   445	RPs/Img: 4.68	IOU: 37.38%	Recall:40.90%	Precision:54.82%	C0: 0.41  C1: 0.71  C2: 0.04  C3: 0.35  C4: 0.69 
   71   196   473	RPs/Img: 4.82	IOU: 37.65%	Recall:41.44%	Precision:56.48%	C0: 0.41  C1: 0.71  C2: 0.04  C3: 0.37  C4: 0.70 
   72   207   496	RPs/Img: 4.96	IOU: 37.88%	Recall:41.73%	Precision:57.18%	C0: 0.41  C1: 0.71  C2: 0.03  C3: 0.38  C4: 0.71 
   73   218   513	RPs/Img: 5.15	IOU: 38.54%	Recall:42.50%	Precision:57.22%	C0: 0.44  C1: 0.71  C2: 0.03  C3: 0.38  C4: 0.72 
   74   223   518	RPs/Img: 5.19	IOU: 38.78%	Recall:43.05%	Precision:57.33%	C0: 0.45  C1: 0.71  C2: 0.03  C3: 0.39  C4: 0.72 
   75   223   521	RPs/Img: 5.12	IOU: 38.56%	Recall:42.80%	Precision:57.33%	C0: 0.45  C1: 0.71  C2: 0.03  C3: 0.39  C4: 0.72 
   76   233   544	RPs/Img: 5.26	IOU: 38.37%	Recall:42.83%	Precision:57.53%	C0: 0.45  C1: 0.71  C2: 0.04  C3: 0.40  C4: 0.72 
   77   243   561	RPs/Img: 5.32	IOU: 38.61%	Recall:43.32%	Precision:58.55%	C0: 0.47  C1: 0.71  C2: 0.04  C3: 0.41  C4: 0.73 
   78   255   581	RPs/Img: 5.44	IOU: 38.92%	Recall:43.89%	Precision:59.30%	C0: 0.48  C1: 0.71  C2: 0.06  C3: 0.42  C4: 0.73 
   79   257   585	RPs/Img: 5.44	IOU: 39.03%	Recall:43.93%	Precision:59.08%	C0: 0.49  C1: 0.71  C2: 0.06  C3: 0.42  C4: 0.73 
   80   267   602	RPs/Img: 5.49	IOU: 39.25%	Recall:44.35%	Precision:60.00%	C0: 0.49  C1: 0.71  C2: 0.07  C3: 0.42  C4: 0.73 
   81   269   606	RPs/Img: 5.45	IOU: 39.26%	Recall:44.39%	Precision:60.18%	C0: 0.48  C1: 0.71  C2: 0.07  C3: 0.42  C4: 0.73 
   82   270   607	RPs/Img: 5.42	IOU: 39.30%	Recall:44.48%	Precision:60.00%	C0: 0.48  C1: 0.72  C2: 0.07  C3: 0.42  C4: 0.73 
   83   274   616	RPs/Img: 5.42	IOU: 39.29%	Recall:44.48%	Precision:60.22%	C0: 0.49  C1: 0.72  C2: 0.07  C3: 0.42  C4: 0.73 
   84   284   635	RPs/Img: 5.47	IOU: 39.40%	Recall:44.72%	Precision:61.08%	C0: 0.50  C1: 0.72  C2: 0.07  C3: 0.43  C4: 0.73 
   85   285   636	RPs/Img: 5.42	IOU: 39.45%	Recall:44.81%	Precision:61.16%	C0: 0.50  C1: 0.73  C2: 0.07  C3: 0.43  C4: 0.73 
   86   286   639	RPs/Img: 5.37	IOU: 39.44%	Recall:44.76%	Precision:61.24%	C0: 0.50  C1: 0.73  C2: 0.07  C3: 0.43  C4: 0.74 
   87   286   641	RPs/Img: 5.35	IOU: 39.37%	Recall:44.62%	Precision:60.72%	C0: 0.50  C1: 0.73  C2: 0.07  C3: 0.43  C4: 0.73 
   88   287   642	RPs/Img: 5.30	IOU: 39.42%	Recall:44.70%	Precision:60.81%	C0: 0.50  C1: 0.74  C2: 0.07  C3: 0.43  C4: 0.73 
   89   297   659	RPs/Img: 5.43	IOU: 39.81%	Recall:45.07%	Precision:60.74%	C0: 0.50  C1: 0.74  C2: 0.07  C3: 0.43  C4: 0.74 
   90   303   670	RPs/Img: 5.46	IOU: 39.96%	Recall:45.22%	Precision:60.97%	C0: 0.49  C1: 0.76  C2: 0.07  C3: 0.43  C4: 0.74 
   91   314   689	RPs/Img: 5.59	IOU: 40.33%	Recall:45.57%	Precision:61.09%	C0: 0.50  C1: 0.76  C2: 0.07  C3: 0.42  C4: 0.74 
