    0     6    11	RPs/Img: 16.00	IOU: 54.60%	Recall:54.55%	Precision:37.50%	C0: 0.00  C1: -nan  C2: 0.00  C3: -nan  C4: 0.86 
    1     7    13	RPs/Img: 9.50	IOU: 54.23%	Recall:53.85%	Precision:36.84%	C0: 0.00  C1: -nan  C2: 0.00  C3: -nan  C4: 0.78 
    2    12    26	RPs/Img: 8.00	IOU: 42.83%	Recall:46.15%	Precision:50.00%	C0: 0.00  C1: -nan  C2: 0.00  C3: -nan  C4: 0.86 
    3    17    39	RPs/Img: 8.25	IOU: 40.55%	Recall:43.59%	Precision:51.52%	C0: 0.00  C1: -nan  C2: 0.06  C3: -nan  C4: 0.84 
    4    20    45	RPs/Img: 8.60	IOU: 42.02%	Recall:44.44%	Precision:46.51%	C0: 0.00  C1: -nan  C2: 0.10  C3: -nan  C4: 0.86 
    5    27    60	RPs/Img: 9.50	IOU: 42.91%	Recall:45.00%	Precision:47.37%	C0: 0.00  C1: -nan  C2: 0.11  C3: -nan  C4: 0.83 
    6    32    68	RPs/Img: 9.14	IOU: 43.20%	Recall:47.06%	Precision:50.00%	C0: 0.00  C1: -nan  C2: 0.10  C3: -nan  C4: 0.83 
    7    39    84	RPs/Img: 10.00	IOU: 42.77%	Recall:46.43%	Precision:48.75%	C0: 0.00  C1: -nan  C2: 0.11  C3: -nan  C4: 0.83 
    8    44    95	RPs/Img: 9.89	IOU: 42.90%	Recall:46.32%	Precision:49.44%	C0: 0.00  C1: -nan  C2: 0.11  C3: -nan  C4: 0.83 
    9    46   100	RPs/Img: 9.90	IOU: 42.53%	Recall:46.00%	Precision:46.46%	C0: 0.00  C1: -nan  C2: 0.11  C3: -nan  C4: 0.82 
   10    52   116	RPs/Img: 10.09	IOU: 42.16%	Recall:44.83%	Precision:46.85%	C0: 0.00  C1: -nan  C2: 0.09  C3: -nan  C4: 0.81 
   11    53   121	RPs/Img: 9.92	IOU: 42.30%	Recall:43.80%	Precision:44.54%	C0: 0.00  C1: -nan  C2: 0.09  C3: -nan  C4: 0.80 
   12    55   124	RPs/Img: 9.31	IOU: 42.87%	Recall:44.35%	Precision:45.45%	C0: 0.00  C1: -nan  C2: 0.09  C3: -nan  C4: 0.81 
   13    56   125	RPs/Img: 8.93	IOU: 43.16%	Recall:44.80%	Precision:44.80%	C0: 0.17  C1: -nan  C2: 0.09  C3: -nan  C4: 0.81 
   14    57   127	RPs/Img: 8.47	IOU: 43.32%	Recall:44.88%	Precision:44.88%	C0: 0.14  C1: -nan  C2: 0.09  C3: 1.00  C4: 0.81 
   15    63   142	RPs/Img: 9.00	IOU: 43.31%	Recall:44.37%	Precision:43.75%	C0: 0.14  C1: -nan  C2: 0.08  C3: 1.00  C4: 0.81 
   16    64   145	RPs/Img: 8.76	IOU: 43.34%	Recall:44.14%	Precision:42.95%	C0: 0.25  C1: -nan  C2: 0.08  C3: 1.00  C4: 0.80 
   17    67   149	RPs/Img: 8.50	IOU: 43.68%	Recall:44.97%	Precision:43.79%	C0: 0.40  C1: -nan  C2: 0.08  C3: 1.00  C4: 0.80 
   18    68   150	RPs/Img: 8.16	IOU: 43.86%	Recall:45.33%	Precision:43.87%	C0: 0.45  C1: -nan  C2: 0.08  C3: 1.00  C4: 0.80 
   19    70   155	RPs/Img: 8.10	IOU: 43.64%	Recall:45.16%	Precision:43.21%	C0: 0.42  C1: -nan  C2: 0.09  C3: 1.00  C4: 0.81 
   20    70   156	RPs/Img: 7.81	IOU: 43.60%	Recall:44.87%	Precision:42.68%	C0: 0.38  C1: -nan  C2: 0.09  C3: 1.00  C4: 0.81 
   21    70   157	RPs/Img: 7.64	IOU: 43.43%	Recall:44.59%	Precision:41.67%	C0: 0.36  C1: -nan  C2: 0.09  C3: 1.00  C4: 0.81 
   22    70   158	RPs/Img: 7.39	IOU: 43.36%	Recall:44.30%	Precision:41.18%	C0: 0.33  C1: -nan  C2: 0.09  C3: 1.00  C4: 0.81 
   23    70   159	RPs/Img: 7.12	IOU: 43.28%	Recall:44.03%	Precision:40.94%	C0: 0.31  C1: -nan  C2: 0.09  C3: 1.00  C4: 0.81 
   24    71   160	RPs/Img: 6.92	IOU: 43.51%	Recall:44.38%	Precision:41.04%	C0: 0.31  C1: 1.00  C2: 0.09  C3: 1.00  C4: 0.81 
   25    72   161	RPs/Img: 6.77	IOU: 43.69%	Recall:44.72%	Precision:40.91%	C0: 0.31  C1: 1.00  C2: 0.09  C3: 1.00  C4: 0.81 
   26    74   163	RPs/Img: 6.63	IOU: 43.99%	Recall:45.40%	Precision:41.34%	C0: 0.31  C1: 1.00  C2: 0.09  C3: 1.00  C4: 0.81 
   27    75   165	RPs/Img: 6.50	IOU: 43.94%	Recall:45.45%	Precision:41.21%	C0: 0.29  C1: 1.00  C2: 0.09  C3: 1.00  C4: 0.82 
   28    76   167	RPs/Img: 6.45	IOU: 43.98%	Recall:45.51%	Precision:40.64%	C0: 0.29  C1: 0.50  C2: 0.09  C3: 1.00  C4: 0.82 
   29    77   168	RPs/Img: 6.30	IOU: 44.23%	Recall:45.83%	Precision:40.74%	C0: 0.33  C1: 0.50  C2: 0.09  C3: 1.00  C4: 0.82 
   30    77   170	RPs/Img: 6.16	IOU: 43.92%	Recall:45.29%	Precision:40.31%	C0: 0.32  C1: 0.50  C2: 0.09  C3: 1.00  C4: 0.82 
   31    77   171	RPs/Img: 6.06	IOU: 43.67%	Recall:45.03%	Precision:39.69%	C0: 0.30  C1: 0.50  C2: 0.09  C3: 1.00  C4: 0.82 
   32    77   172	RPs/Img: 5.94	IOU: 43.63%	Recall:44.77%	Precision:39.29%	C0: 0.29  C1: 0.50  C2: 0.09  C3: 1.00  C4: 0.82 
   33    77   173	RPs/Img: 5.88	IOU: 43.60%	Recall:44.51%	Precision:38.50%	C0: 0.29  C1: 0.33  C2: 0.09  C3: 1.00  C4: 0.82 
   34    78   174	RPs/Img: 5.80	IOU: 43.79%	Recall:44.83%	Precision:38.42%	C0: 0.32  C1: 0.33  C2: 0.09  C3: 1.00  C4: 0.82 
