    0     3    35	RPs/Img: 4.00	IOU: 10.95%	Recall:8.57%	Precision:75.00%	RMSE:3.59 avgRMSE:3.59	C0: 0.00  C1: 0.25  C2: -nan  C3: 0.05  C4: 0.10 
    1     9    71	RPs/Img: 6.50	IOU: 16.98%	Recall:12.68%	Precision:69.23%	RMSE:3.50 avgRMSE:3.55	C0: 0.00  C1: 0.22  C2: -nan  C3: 0.05  C4: 0.26 
    2     9    72	RPs/Img: 5.00	IOU: 17.39%	Recall:12.50%	Precision:60.00%	RMSE:1.00 avgRMSE:2.70	C0: 0.00  C1: 0.20  C2: -nan  C3: 0.05  C4: 0.26 
    3     9    73	RPs/Img: 3.75	IOU: 17.15%	Recall:12.33%	Precision:60.00%	RMSE:1.00 avgRMSE:2.27	C0: 0.00  C1: 0.18  C2: -nan  C3: 0.05  C4: 0.26 
    4    10    74	RPs/Img: 3.20	IOU: 17.94%	Recall:13.51%	Precision:62.50%	RMSE:0.00 avgRMSE:1.82	C0: 0.00  C1: 0.25  C2: -nan  C3: 0.05  C4: 0.26 
    5    10    86	RPs/Img: 2.67	IOU: 15.44%	Recall:11.63%	Precision:62.50%	RMSE:3.19 avgRMSE:2.05	C0: 0.00  C1: 0.25  C2: -nan  C3: 0.04  C4: 0.26 
    6    10   100	RPs/Img: 2.29	IOU: 13.28%	Recall:10.00%	Precision:62.50%	RMSE:3.48 avgRMSE:2.25	C0: 0.00  C1: 0.25  C2: -nan  C3: 0.03  C4: 0.26 
    7    10   109	RPs/Img: 2.00	IOU: 12.18%	Recall:9.17%	Precision:62.50%	RMSE:2.13 avgRMSE:2.24	C0: 0.00  C1: 0.23  C2: -nan  C3: 0.03  C4: 0.26 
    8    10   110	RPs/Img: 1.78	IOU: 12.07%	Recall:9.09%	Precision:62.50%	RMSE:1.00 avgRMSE:2.10	C0: 0.00  C1: 0.21  C2: -nan  C3: 0.03  C4: 0.26 
    9    10   111	RPs/Img: 1.60	IOU: 11.96%	Recall:9.01%	Precision:62.50%	RMSE:1.00 avgRMSE:1.99	C0: 0.00  C1: 0.20  C2: -nan  C3: 0.03  C4: 0.26 
   10    15   119	RPs/Img: 1.91	IOU: 14.21%	Recall:12.61%	Precision:71.43%	RMSE:0.79 avgRMSE:1.88	C0: 0.14  C1: 0.28  C2: -nan  C3: 0.05  C4: 0.26 
   11    15   121	RPs/Img: 1.75	IOU: 13.98%	Recall:12.40%	Precision:71.43%	RMSE:1.41 avgRMSE:1.84	C0: 0.14  C1: 0.28  C2: -nan  C3: 0.05  C4: 0.26 
   12    19   130	RPs/Img: 2.00	IOU: 15.56%	Recall:14.62%	Precision:73.08%	RMSE:1.37 avgRMSE:1.81	C0: 0.25  C1: 0.30  C2: -nan  C3: 0.07  C4: 0.26 
   13    22   147	RPs/Img: 2.21	IOU: 16.63%	Recall:14.97%	Precision:70.97%	RMSE:2.40 avgRMSE:1.85	C0: 0.25  C1: 0.30  C2: 0.00  C3: 0.07  C4: 0.28 
   14    24   160	RPs/Img: 2.40	IOU: 17.36%	Recall:15.00%	Precision:66.67%	RMSE:1.98 avgRMSE:1.86	C0: 0.22  C1: 0.30  C2: 0.00  C3: 0.07  C4: 0.28 
   15    24   161	RPs/Img: 2.25	IOU: 17.25%	Recall:14.91%	Precision:66.67%	RMSE:1.00 avgRMSE:1.80	C0: 0.22  C1: 0.30  C2: 0.00  C3: 0.07  C4: 0.28 
   16    24   163	RPs/Img: 2.12	IOU: 17.04%	Recall:14.72%	Precision:66.67%	RMSE:1.00 avgRMSE:1.76	C0: 0.20  C1: 0.29  C2: 0.00  C3: 0.07  C4: 0.28 
   17    26   177	RPs/Img: 2.28	IOU: 17.25%	Recall:14.69%	Precision:63.41%	RMSE:1.95 avgRMSE:1.77	C0: 0.18  C1: 0.29  C2: 0.00  C3: 0.07  C4: 0.29 
   18    27   178	RPs/Img: 2.21	IOU: 17.58%	Recall:15.17%	Precision:64.29%	RMSE:0.00 avgRMSE:1.67	C0: 0.18  C1: 0.32  C2: 0.00  C3: 0.07  C4: 0.29 
   19    27   181	RPs/Img: 2.10	IOU: 17.29%	Recall:14.92%	Precision:64.29%	RMSE:1.73 avgRMSE:1.68	C0: 0.18  C1: 0.32  C2: 0.00  C3: 0.07  C4: 0.29 
   20    28   182	RPs/Img: 2.05	IOU: 17.63%	Recall:15.38%	Precision:65.12%	RMSE:0.00 avgRMSE:1.60	C0: 0.18  C1: 0.32  C2: 0.00  C3: 0.07  C4: 0.30 
   21    29   184	RPs/Img: 2.00	IOU: 17.71%	Recall:15.76%	Precision:65.91%	RMSE:0.71 avgRMSE:1.56	C0: 0.25  C1: 0.32  C2: 0.00  C3: 0.07  C4: 0.30 
   22    30   185	RPs/Img: 1.96	IOU: 17.94%	Recall:16.22%	Precision:66.67%	RMSE:0.00 avgRMSE:1.49	C0: 0.25  C1: 0.32  C2: 0.00  C3: 0.07  C4: 0.31 
   23    30   186	RPs/Img: 1.88	IOU: 17.84%	Recall:16.13%	Precision:66.67%	RMSE:1.00 avgRMSE:1.47	C0: 0.25  C1: 0.30  C2: 0.00  C3: 0.07  C4: 0.31 
   24    30   187	RPs/Img: 1.88	IOU: 17.95%	Recall:16.04%	Precision:63.83%	RMSE:1.00 avgRMSE:1.45	C0: 0.23  C1: 0.30  C2: 0.00  C3: 0.07  C4: 0.31 
   25    31   188	RPs/Img: 1.85	IOU: 18.29%	Recall:16.49%	Precision:64.58%	RMSE:0.00 avgRMSE:1.39	C0: 0.29  C1: 0.30  C2: 0.00  C3: 0.07  C4: 0.31 
   26    33   204	RPs/Img: 1.93	IOU: 18.09%	Recall:16.18%	Precision:63.46%	RMSE:2.03 avgRMSE:1.42	C0: 0.27  C1: 0.30  C2: 0.00  C3: 0.07  C4: 0.31 
   27    35   206	RPs/Img: 1.93	IOU: 18.49%	Recall:16.99%	Precision:64.81%	RMSE:0.00 avgRMSE:1.37	C0: 0.35  C1: 0.30  C2: 0.00  C3: 0.07  C4: 0.31 
   28    36   207	RPs/Img: 1.90	IOU: 18.73%	Recall:17.39%	Precision:65.45%	RMSE:0.00 avgRMSE:1.32	C0: 0.35  C1: 0.33  C2: 0.00  C3: 0.07  C4: 0.31 
   29    36   218	RPs/Img: 1.83	IOU: 17.79%	Recall:16.51%	Precision:65.45%	RMSE:1.88 avgRMSE:1.34	C0: 0.35  C1: 0.32  C2: 0.00  C3: 0.07  C4: 0.28 
   30    39   228	RPs/Img: 1.94	IOU: 18.48%	Recall:17.11%	Precision:65.00%	RMSE:1.30 avgRMSE:1.34	C0: 0.39  C1: 0.32  C2: 0.00  C3: 0.07  C4: 0.30 
   31    41   244	RPs/Img: 1.94	IOU: 17.77%	Recall:16.80%	Precision:66.13%	RMSE:1.94 avgRMSE:1.36	C0: 0.42  C1: 0.30  C2: 0.00  C3: 0.06  C4: 0.28 
   32    42   245	RPs/Img: 1.94	IOU: 17.91%	Recall:17.14%	Precision:65.62%	RMSE:0.00 avgRMSE:1.32	C0: 0.42  C1: 0.32  C2: 0.00  C3: 0.06  C4: 0.28 
   33    43   247	RPs/Img: 1.97	IOU: 18.02%	Recall:17.41%	Precision:64.18%	RMSE:0.71 avgRMSE:1.30	C0: 0.45  C1: 0.31  C2: 0.00  C3: 0.06  C4: 0.28 
   34    43   248	RPs/Img: 1.94	IOU: 18.10%	Recall:17.34%	Precision:63.24%	RMSE:1.00 avgRMSE:1.29	C0: 0.45  C1: 0.30  C2: 0.00  C3: 0.06  C4: 0.28 
   35    43   250	RPs/Img: 1.89	IOU: 17.95%	Recall:17.20%	Precision:63.24%	RMSE:0.71 avgRMSE:1.27	C0: 0.45  C1: 0.30  C2: 0.00  C3: 0.06  C4: 0.28 
   36    43   251	RPs/Img: 1.84	IOU: 17.88%	Recall:17.13%	Precision:63.24%	RMSE:1.00 avgRMSE:1.27	C0: 0.45  C1: 0.30  C2: 0.00  C3: 0.06  C4: 0.28 
   37    44   253	RPs/Img: 1.82	IOU: 17.97%	Recall:17.39%	Precision:63.77%	RMSE:0.00 avgRMSE:1.23	C0: 0.45  C1: 0.32  C2: 0.00  C3: 0.06  C4: 0.28 
   38    45   254	RPs/Img: 1.79	IOU: 18.14%	Recall:17.72%	Precision:64.29%	RMSE:0.00 avgRMSE:1.20	C0: 0.45  C1: 0.34  C2: 0.00  C3: 0.06  C4: 0.28 
   39    45   257	RPs/Img: 1.77	IOU: 18.11%	Recall:17.51%	Precision:63.38%	RMSE:1.73 avgRMSE:1.21	C0: 0.45  C1: 0.31  C2: 0.00  C3: 0.06  C4: 0.28 
   40    46   258	RPs/Img: 1.76	IOU: 18.25%	Recall:17.83%	Precision:63.89%	RMSE:0.00 avgRMSE:1.18	C0: 0.45  C1: 0.33  C2: 0.00  C3: 0.06  C4: 0.28 
   41    46   260	RPs/Img: 1.71	IOU: 18.11%	Recall:17.69%	Precision:63.89%	RMSE:1.41 avgRMSE:1.19	C0: 0.45  C1: 0.32  C2: 0.00  C3: 0.06  C4: 0.28 
   42    46   261	RPs/Img: 1.67	IOU: 18.04%	Recall:17.62%	Precision:63.89%	RMSE:1.00 avgRMSE:1.19	C0: 0.43  C1: 0.32  C2: 0.00  C3: 0.06  C4: 0.28 
   43    46   262	RPs/Img: 1.64	IOU: 17.97%	Recall:17.56%	Precision:63.89%	RMSE:1.00 avgRMSE:1.18	C0: 0.43  C1: 0.31  C2: 0.00  C3: 0.06  C4: 0.28 
   44    46   263	RPs/Img: 1.62	IOU: 17.95%	Recall:17.49%	Precision:63.01%	RMSE:1.00 avgRMSE:1.18	C0: 0.41  C1: 0.31  C2: 0.00  C3: 0.06  C4: 0.28 
   45    46   264	RPs/Img: 1.59	IOU: 17.88%	Recall:17.42%	Precision:63.01%	RMSE:1.00 avgRMSE:1.17	C0: 0.39  C1: 0.31  C2: 0.00  C3: 0.06  C4: 0.28 
   46    47   301	RPs/Img: 1.57	IOU: 16.02%	Recall:15.61%	Precision:63.51%	RMSE:3.96 avgRMSE:1.23	C0: 0.38  C1: 0.30  C2: 0.00  C3: 0.05  C4: 0.23 
   47    47   308	RPs/Img: 1.54	IOU: 15.66%	Recall:15.26%	Precision:63.51%	RMSE:2.30 avgRMSE:1.25	C0: 0.38  C1: 0.30  C2: 0.00  C3: 0.05  C4: 0.23 
   48    47   335	RPs/Img: 1.51	IOU: 14.40%	Recall:14.03%	Precision:63.51%	RMSE:3.48 avgRMSE:1.30	C0: 0.36  C1: 0.29  C2: 0.00  C3: 0.05  C4: 0.20 
   49    47   336	RPs/Img: 1.48	IOU: 14.36%	Recall:13.99%	Precision:63.51%	RMSE:1.00 avgRMSE:1.29	C0: 0.36  C1: 0.29  C2: 0.00  C3: 0.05  C4: 0.20 
   50    48   342	RPs/Img: 1.47	IOU: 14.32%	Recall:14.04%	Precision:64.00%	RMSE:1.68 avgRMSE:1.30	C0: 0.38  C1: 0.29  C2: 0.00  C3: 0.04  C4: 0.19 
