    0     6    35	RPs/Img: 9.00	IOU: 24.84%	Recall:17.14%	Precision:66.67%	C0: 0.00  C1: 0.25  C2: -nan  C3: 0.15  C4: 0.20 
    1    10    71	RPs/Img: 7.50	IOU: 19.83%	Recall:14.08%	Precision:66.67%	C0: 0.00  C1: 0.22  C2: -nan  C3: 0.07  C4: 0.26 
    2    10    72	RPs/Img: 6.00	IOU: 20.09%	Recall:13.89%	Precision:55.56%	C0: 0.00  C1: 0.20  C2: -nan  C3: 0.07  C4: 0.26 
    3    10    73	RPs/Img: 4.50	IOU: 19.81%	Recall:13.70%	Precision:55.56%	C0: 0.00  C1: 0.18  C2: -nan  C3: 0.07  C4: 0.26 
    4    10    74	RPs/Img: 4.00	IOU: 20.07%	Recall:13.51%	Precision:50.00%	C0: 0.00  C1: 0.17  C2: -nan  C3: 0.07  C4: 0.26 
    5    11    86	RPs/Img: 3.50	IOU: 19.31%	Recall:12.79%	Precision:52.38%	C0: 0.00  C1: 0.17  C2: -nan  C3: 0.08  C4: 0.26 
    6    15   100	RPs/Img: 3.57	IOU: 21.34%	Recall:15.00%	Precision:60.00%	C0: 0.00  C1: 0.17  C2: -nan  C3: 0.12  C4: 0.26 
    7    18   109	RPs/Img: 3.50	IOU: 22.25%	Recall:16.51%	Precision:64.29%	C0: 0.17  C1: 0.23  C2: -nan  C3: 0.13  C4: 0.26 
    8    18   110	RPs/Img: 3.11	IOU: 22.05%	Recall:16.36%	Precision:64.29%	C0: 0.17  C1: 0.21  C2: -nan  C3: 0.13  C4: 0.26 
    9    18   111	RPs/Img: 2.80	IOU: 21.85%	Recall:16.22%	Precision:64.29%	C0: 0.17  C1: 0.20  C2: -nan  C3: 0.13  C4: 0.26 
   10    20   119	RPs/Img: 2.91	IOU: 22.19%	Recall:16.81%	Precision:62.50%	C0: 0.29  C1: 0.22  C2: -nan  C3: 0.12  C4: 0.26 
   11    20   121	RPs/Img: 2.67	IOU: 21.82%	Recall:16.53%	Precision:62.50%	C0: 0.29  C1: 0.22  C2: -nan  C3: 0.12  C4: 0.26 
   12    23   130	RPs/Img: 2.69	IOU: 22.48%	Recall:17.69%	Precision:65.71%	C0: 0.38  C1: 0.20  C2: -nan  C3: 0.13  C4: 0.26 
   13    30   147	RPs/Img: 3.43	IOU: 24.50%	Recall:20.41%	Precision:62.50%	C0: 0.38  C1: 0.20  C2: 0.14  C3: 0.13  C4: 0.38 
   14    35   160	RPs/Img: 3.87	IOU: 27.00%	Recall:21.88%	Precision:60.34%	C0: 0.33  C1: 0.20  C2: 0.08  C3: 0.13  C4: 0.44 
   15    35   161	RPs/Img: 3.62	IOU: 26.83%	Recall:21.74%	Precision:60.34%	C0: 0.33  C1: 0.20  C2: 0.08  C3: 0.13  C4: 0.44 
   16    37   163	RPs/Img: 3.53	IOU: 27.35%	Recall:22.70%	Precision:61.67%	C0: 0.40  C1: 0.24  C2: 0.08  C3: 0.13  C4: 0.44 
   17    45   177	RPs/Img: 3.94	IOU: 29.14%	Recall:25.42%	Precision:63.38%	C0: 0.36  C1: 0.24  C2: 0.17  C3: 0.13  C4: 0.50 
   18    46   178	RPs/Img: 3.79	IOU: 29.45%	Recall:25.84%	Precision:63.89%	C0: 0.36  C1: 0.27  C2: 0.17  C3: 0.13  C4: 0.50 
