    0    23    35	RPs/Img: 25.00	IOU: 57.55%	Recall:65.71%	Precision:92.00%	RMSE:1.33 avgRMSE:1.33	C0: 1.00  C1: 0.50  C2: -nan  C3: 0.65  C4: 0.70 
    1    47    71	RPs/Img: 28.50	IOU: 56.54%	Recall:66.20%	Precision:82.46%	RMSE:1.55 avgRMSE:1.44	C0: 1.00  C1: 0.67  C2: -nan  C3: 0.61  C4: 0.74 
    2    48    72	RPs/Img: 19.33	IOU: 56.72%	Recall:66.67%	Precision:82.76%	RMSE:0.00 avgRMSE:0.96	C0: 1.00  C1: 0.70  C2: -nan  C3: 0.61  C4: 0.74 
    3    48    73	RPs/Img: 14.50	IOU: 55.94%	Recall:65.75%	Precision:82.76%	RMSE:1.00 avgRMSE:0.97	C0: 1.00  C1: 0.64  C2: -nan  C3: 0.61  C4: 0.74 
    4    49    74	RPs/Img: 11.80	IOU: 56.15%	Recall:66.22%	Precision:83.05%	RMSE:0.00 avgRMSE:0.78	C0: 1.00  C1: 0.67  C2: -nan  C3: 0.61  C4: 0.74 
    5    57    86	RPs/Img: 11.83	IOU: 56.74%	Recall:66.28%	Precision:80.28%	RMSE:0.91 avgRMSE:0.80	C0: 0.67  C1: 0.67  C2: -nan  C3: 0.63  C4: 0.74 
    6    69   100	RPs/Img: 12.29	IOU: 58.52%	Recall:69.00%	Precision:80.23%	RMSE:0.53 avgRMSE:0.76	C0: 0.75  C1: 0.67  C2: -nan  C3: 0.68  C4: 0.74 
    7    77   109	RPs/Img: 12.25	IOU: 59.78%	Recall:70.64%	Precision:78.57%	RMSE:0.33 avgRMSE:0.71	C0: 0.83  C1: 0.69  C2: -nan  C3: 0.69  C4: 0.74 
    8    77   110	RPs/Img: 10.89	IOU: 59.23%	Recall:70.00%	Precision:78.57%	RMSE:1.00 avgRMSE:0.74	C0: 0.83  C1: 0.64  C2: -nan  C3: 0.69  C4: 0.74 
    9    78   111	RPs/Img: 9.90	IOU: 59.40%	Recall:70.27%	Precision:78.79%	RMSE:0.00 avgRMSE:0.67	C0: 0.83  C1: 0.67  C2: -nan  C3: 0.69  C4: 0.74 
   10    85   119	RPs/Img: 10.00	IOU: 60.04%	Recall:71.43%	Precision:77.27%	RMSE:0.35 avgRMSE:0.64	C0: 0.86  C1: 0.72  C2: -nan  C3: 0.69  C4: 0.74 
   11    85   121	RPs/Img: 9.17	IOU: 59.05%	Recall:70.25%	Precision:77.27%	RMSE:1.41 avgRMSE:0.70	C0: 0.86  C1: 0.72  C2: -nan  C3: 0.68  C4: 0.74 
   12    93   130	RPs/Img: 9.31	IOU: 59.88%	Recall:71.54%	Precision:76.86%	RMSE:0.33 avgRMSE:0.67	C0: 0.88  C1: 0.70  C2: -nan  C3: 0.70  C4: 0.74 
   13   105   147	RPs/Img: 9.36	IOU: 59.51%	Recall:71.43%	Precision:80.15%	RMSE:1.00 avgRMSE:0.70	C0: 0.88  C1: 0.70  C2: 0.43  C3: 0.70  C4: 0.79 
   14   115   160	RPs/Img: 9.40	IOU: 59.84%	Recall:71.88%	Precision:81.56%	RMSE:0.83 avgRMSE:0.71	C0: 0.89  C1: 0.70  C2: 0.42  C3: 0.70  C4: 0.83 
   15   116   161	RPs/Img: 8.88	IOU: 59.94%	Recall:72.05%	Precision:81.69%	RMSE:0.00 avgRMSE:0.66	C0: 0.89  C1: 0.70  C2: 0.42  C3: 0.70  C4: 0.83 
   16   117   163	RPs/Img: 8.41	IOU: 59.69%	Recall:71.78%	Precision:81.82%	RMSE:0.71 avgRMSE:0.66	C0: 0.90  C1: 0.67  C2: 0.42  C3: 0.70  C4: 0.83 
   17   125   177	RPs/Img: 8.39	IOU: 59.08%	Recall:70.62%	Precision:82.78%	RMSE:1.13 avgRMSE:0.69	C0: 0.82  C1: 0.67  C2: 0.39  C3: 0.70  C4: 0.83 
   18   126   178	RPs/Img: 8.00	IOU: 59.22%	Recall:70.79%	Precision:82.89%	RMSE:0.00 avgRMSE:0.65	C0: 0.82  C1: 0.68  C2: 0.39  C3: 0.70  C4: 0.83 
   19   126   181	RPs/Img: 7.65	IOU: 58.35%	Recall:69.61%	Precision:82.35%	RMSE:1.73 avgRMSE:0.71	C0: 0.82  C1: 0.68  C2: 0.33  C3: 0.70  C4: 0.83 
   20   127   182	RPs/Img: 7.33	IOU: 58.43%	Recall:69.78%	Precision:82.47%	RMSE:0.00 avgRMSE:0.67	C0: 0.82  C1: 0.68  C2: 0.33  C3: 0.70  C4: 0.84 
   21   128   184	RPs/Img: 7.09	IOU: 58.43%	Recall:69.57%	Precision:82.05%	RMSE:0.71 avgRMSE:0.68	C0: 0.83  C1: 0.68  C2: 0.33  C3: 0.70  C4: 0.82 
   22   129   185	RPs/Img: 6.87	IOU: 58.52%	Recall:69.73%	Precision:81.65%	RMSE:0.00 avgRMSE:0.65	C0: 0.83  C1: 0.68  C2: 0.33  C3: 0.70  C4: 0.82 
   23   130   186	RPs/Img: 6.62	IOU: 58.61%	Recall:69.89%	Precision:81.76%	RMSE:0.00 avgRMSE:0.62	C0: 0.83  C1: 0.70  C2: 0.33  C3: 0.70  C4: 0.82 
