    0    23    35	RPs/Img: 27.00	IOU: 56.21%	Recall:65.71%	Precision:85.19%	C0: 1.00  C1: 0.75  C2: -nan  C3: 0.75  C4: 0.40 
    1    50    71	RPs/Img: 30.00	IOU: 58.14%	Recall:70.42%	Precision:83.33%	C0: 0.50  C1: 0.67  C2: -nan  C3: 0.73  C4: 0.68 
    2    50    72	RPs/Img: 20.33	IOU: 57.83%	Recall:69.44%	Precision:81.97%	C0: 0.50  C1: 0.60  C2: -nan  C3: 0.73  C4: 0.68 
    3    50    73	RPs/Img: 15.25	IOU: 57.04%	Recall:68.49%	Precision:81.97%	C0: 0.50  C1: 0.55  C2: -nan  C3: 0.73  C4: 0.68 
    4    50    74	RPs/Img: 12.40	IOU: 56.86%	Recall:67.57%	Precision:80.65%	C0: 0.50  C1: 0.50  C2: -nan  C3: 0.73  C4: 0.68 
    5    54    86	RPs/Img: 11.00	IOU: 53.34%	Recall:62.79%	Precision:81.82%	C0: 0.33  C1: 0.50  C2: -nan  C3: 0.65  C4: 0.68 
    6    64   100	RPs/Img: 10.71	IOU: 54.26%	Recall:64.00%	Precision:85.33%	C0: 0.50  C1: 0.50  C2: -nan  C3: 0.66  C4: 0.68 
    7    71   109	RPs/Img: 10.38	IOU: 54.78%	Recall:65.14%	Precision:85.54%	C0: 0.67  C1: 0.54  C2: -nan  C3: 0.66  C4: 0.68 
    8    71   110	RPs/Img: 9.22	IOU: 54.28%	Recall:64.55%	Precision:85.54%	C0: 0.67  C1: 0.50  C2: -nan  C3: 0.66  C4: 0.68 
    9    72   111	RPs/Img: 8.40	IOU: 54.50%	Recall:64.86%	Precision:85.71%	C0: 0.67  C1: 0.53  C2: -nan  C3: 0.66  C4: 0.68 
   10    79   119	RPs/Img: 8.18	IOU: 55.15%	Recall:66.39%	Precision:87.78%	C0: 0.71  C1: 0.56  C2: -nan  C3: 0.68  C4: 0.68 
   11    79   121	RPs/Img: 7.50	IOU: 54.24%	Recall:65.29%	Precision:87.78%	C0: 0.71  C1: 0.56  C2: -nan  C3: 0.66  C4: 0.68 
