    0    18    35	RPs/Img: 19.00	IOU: 50.30%	Recall:51.43%	Precision:94.74%	RMSE:2.12 avgRMSE:2.12	C0: 1.00  C1: 0.50  C2: -nan  C3: 0.40  C4: 0.70 
    1    37    71	RPs/Img: 19.50	IOU: 49.24%	Recall:52.11%	Precision:94.87%	RMSE:1.94 avgRMSE:2.03	C0: 0.50  C1: 0.56  C2: -nan  C3: 0.44  C4: 0.68 
    2    37    72	RPs/Img: 13.33	IOU: 49.18%	Recall:51.39%	Precision:92.50%	RMSE:1.00 avgRMSE:1.68	C0: 0.50  C1: 0.50  C2: -nan  C3: 0.44  C4: 0.68 
    3    37    73	RPs/Img: 10.00	IOU: 48.51%	Recall:50.68%	Precision:92.50%	RMSE:1.00 avgRMSE:1.51	C0: 0.50  C1: 0.45  C2: -nan  C3: 0.44  C4: 0.68 
    4    37    74	RPs/Img: 8.20	IOU: 48.42%	Recall:50.00%	Precision:90.24%	RMSE:1.00 avgRMSE:1.41	C0: 0.50  C1: 0.42  C2: -nan  C3: 0.44  C4: 0.68 
    5    45    86	RPs/Img: 8.67	IOU: 49.57%	Recall:52.33%	Precision:86.54%	RMSE:0.91 avgRMSE:1.33	C0: 0.33  C1: 0.42  C2: -nan  C3: 0.50  C4: 0.68 
    6    56   100	RPs/Img: 9.14	IOU: 51.27%	Recall:56.00%	Precision:87.50%	RMSE:0.80 avgRMSE:1.25	C0: 0.50  C1: 0.42  C2: -nan  C3: 0.55  C4: 0.68 
    7    64   109	RPs/Img: 9.12	IOU: 52.61%	Recall:58.72%	Precision:87.67%	RMSE:0.33 avgRMSE:1.14	C0: 0.67  C1: 0.46  C2: -nan  C3: 0.58  C4: 0.68 
    8    64   110	RPs/Img: 8.11	IOU: 52.13%	Recall:58.18%	Precision:87.67%	RMSE:1.00 avgRMSE:1.12	C0: 0.67  C1: 0.43  C2: -nan  C3: 0.58  C4: 0.68 
    9    65   111	RPs/Img: 7.40	IOU: 52.51%	Recall:58.56%	Precision:87.84%	RMSE:0.00 avgRMSE:1.01	C0: 0.67  C1: 0.47  C2: -nan  C3: 0.58  C4: 0.68 
   10    72   119	RPs/Img: 7.36	IOU: 53.68%	Recall:60.50%	Precision:88.89%	RMSE:0.35 avgRMSE:0.95	C0: 0.71  C1: 0.50  C2: -nan  C3: 0.60  C4: 0.68 
   11    72   121	RPs/Img: 6.83	IOU: 52.79%	Recall:59.50%	Precision:87.80%	RMSE:1.41 avgRMSE:0.99	C0: 0.71  C1: 0.50  C2: -nan  C3: 0.58  C4: 0.68 
   12    80   130	RPs/Img: 7.15	IOU: 54.16%	Recall:61.54%	Precision:86.02%	RMSE:0.33 avgRMSE:0.94	C0: 0.75  C1: 0.50  C2: -nan  C3: 0.61  C4: 0.68 
   13    87   147	RPs/Img: 7.21	IOU: 52.81%	Recall:59.18%	Precision:86.14%	RMSE:1.85 avgRMSE:1.00	C0: 0.75  C1: 0.50  C2: 0.00  C3: 0.61  C4: 0.69 
   14    94   160	RPs/Img: 7.27	IOU: 53.27%	Recall:58.75%	Precision:86.24%	RMSE:1.41 avgRMSE:1.03	C0: 0.78  C1: 0.50  C2: 0.00  C3: 0.61  C4: 0.72 
   15    95   161	RPs/Img: 6.88	IOU: 53.45%	Recall:59.01%	Precision:86.36%	RMSE:0.00 avgRMSE:0.97	C0: 0.78  C1: 0.50  C2: 0.00  C3: 0.62  C4: 0.72 
   16    96   163	RPs/Img: 6.53	IOU: 53.32%	Recall:58.90%	Precision:86.49%	RMSE:0.71 avgRMSE:0.95	C0: 0.80  C1: 0.48  C2: 0.00  C3: 0.62  C4: 0.72 
   17   105   177	RPs/Img: 6.61	IOU: 53.29%	Recall:59.32%	Precision:88.24%	RMSE:1.10 avgRMSE:0.96	C0: 0.73  C1: 0.48  C2: 0.11  C3: 0.62  C4: 0.76 
   18   106   178	RPs/Img: 6.32	IOU: 53.47%	Recall:59.55%	Precision:88.33%	RMSE:0.00 avgRMSE:0.91	C0: 0.73  C1: 0.50  C2: 0.11  C3: 0.62  C4: 0.76 
   19   106   181	RPs/Img: 6.05	IOU: 52.59%	Recall:58.56%	Precision:87.60%	RMSE:1.73 avgRMSE:0.95	C0: 0.73  C1: 0.50  C2: 0.10  C3: 0.62  C4: 0.76 
   20   107   182	RPs/Img: 5.81	IOU: 52.72%	Recall:58.79%	Precision:87.70%	RMSE:0.00 avgRMSE:0.91	C0: 0.73  C1: 0.50  C2: 0.10  C3: 0.62  C4: 0.77 
   21   107   184	RPs/Img: 5.64	IOU: 52.63%	Recall:58.15%	Precision:86.29%	RMSE:1.00 avgRMSE:0.91	C0: 0.67  C1: 0.50  C2: 0.10  C3: 0.62  C4: 0.75 
